package	hardware	backend	variant	dataset	n_voxels	n_timepoints	kind	n_iter	seed	wall_seconds	internal_fit_seconds	job_id	hostname	timestamp
braincoder	a100	tensorflow	grid	smallgrid	490	200	synthetic	default	1	22	11.05	3193518	u24-chaiam0-614	2026-05-19T12:23:11+02:00
braincoder	a100	tensorflow	grid	smallgrid	490	200	synthetic	default	2	23	11.62	3193519	u24-chaiam0-614	2026-05-19T12:23:12+02:00
braincoder	a100	tensorflow	grid	smallgrid	490	200	synthetic	default	3	22	10.78	3193520	u24-chaiam0-614	2026-05-19T12:23:42+02:00
braincoder	a100	tensorflow	hrf	smallgrid	490	200	synthetic	default	1	185	174.31	3193521	u24-chaiam0-614	2026-05-19T12:26:25+02:00
braincoder	a100	tensorflow	hrf	smallgrid	490	200	synthetic	default	2	155	142.98	3193522	u24-chaiam0-614	2026-05-19T12:26:26+02:00
braincoder	a100	tensorflow	hrf	smallgrid	490	200	synthetic	default	3	128	116.62	3193523	u24-chaiam0-614	2026-05-19T12:28:36+02:00
braincoder	cpu32	tensorflow	grid	smallgrid	490	200	synthetic	default	1	26	8.84	3193506	u24-chi0000-402	2026-05-19T10:53:12+02:00
braincoder	cpu32	tensorflow	grid	smallgrid	490	200	synthetic	default	2	27	10.28	3193507	u24-chiihm0-622	2026-05-19T10:53:14+02:00
braincoder	cpu32	tensorflow	grid	smallgrid	490	200	synthetic	default	3	29	11.7	3193508	u24-chiihm0-622	2026-05-19T10:53:16+02:00
braincoder	cpu32	tensorflow	hrf	smallgrid	490	200	synthetic	default	1	170	151.88	3193509	u24-chiihm0-621	2026-05-19T10:55:37+02:00
braincoder	cpu32	tensorflow	hrf	smallgrid	490	200	synthetic	default	2	171	152.68	3193510	u24-chiihm0-621	2026-05-19T10:55:38+02:00
braincoder	cpu32	tensorflow	hrf	smallgrid	490	200	synthetic	default	3	173	154.76	3193511	u24-chiihm0-621	2026-05-19T10:55:40+02:00
braincoder	gpu	tensorflow	grid	smallgrid	490	200	synthetic	default	1	23	7.34	3193512	u24-chaihm0-652	2026-05-19T10:55:49+02:00
braincoder	gpu	tensorflow	grid	smallgrid	490	200	synthetic	default	2	10	4.85	3193513	u24-chaihm0-652	2026-05-19T10:56:08+02:00
braincoder	gpu	tensorflow	grid	smallgrid	490	200	synthetic	default	3	41	15.35	3193514	u24-chaiam0-614	2026-05-19T11:50:31+02:00
braincoder	gpu	tensorflow	hrf	smallgrid	490	200	synthetic	default	1	130	118.08	3193515	u24-chaiam0-614	2026-05-19T12:03:23+02:00
braincoder	gpu	tensorflow	hrf	smallgrid	490	200	synthetic	default	2	189	176.85	3193516	u24-chaiam0-614	2026-05-19T12:04:22+02:00
braincoder	gpu	tensorflow	hrf	smallgrid	490	200	synthetic	default	3	56	48.73	3193517	u24-chaihm0-652	2026-05-19T12:15:46+02:00
braincoder	a100	jax	full	vanes2019	118584	120	real	default	1	3219	3201.71	3193595	u24-chaiam0-614	2026-05-20T05:27:05+02:00
braincoder	a100	jax	full	vanes2019	118584	120	real	default	2	3204	3191.19	3193596	u24-chaiam0-614	2026-05-20T06:01:36+02:00
braincoder	a100	jax	full	vanes2019	118584	120	real	default	3	3179	3167.65	3193597	u24-chaiam0-614	2026-05-20T06:20:19+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	10	1	61	47.54	3193602	u24-chaiam0-614	2026-05-20T06:05:06+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	10	2	62	49.54	3193603	u24-chaiam0-614	2026-05-20T06:06:37+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	10	3	64	51.15	3193604	u24-chaiam0-614	2026-05-20T06:08:10+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	30	1	68	55.56	3193606	u24-chaiam0-614	2026-05-20T06:09:44+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	30	2	71	57.42	3193607	u24-chaiam0-614	2026-05-20T06:11:18+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	30	3	73	59.93	3193608	u24-chaiam0-614	2026-05-20T06:12:51+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	100	1	93	79.33	3193609	u24-chaiam0-614	2026-05-20T06:14:41+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	100	2	91	77.8	3193610	u24-chaiam0-614	2026-05-20T06:16:40+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	100	3	94	81.5	3193611	u24-chaiam0-614	2026-05-20T06:18:44+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	300	1	151	137.52	3193612	u24-chaiam0-614	2026-05-20T06:21:41+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	300	2	153	141.71	3193613	u24-chaiam0-614	2026-05-20T06:23:14+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	300	3	153	140.2	3193614	u24-chaiam0-614	2026-05-20T06:24:44+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	1000	1	368	354.62	3193615	u24-chaiam0-614	2026-05-20T06:29:49+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	1000	2	369	356.83	3193616	u24-chaiam0-614	2026-05-20T06:31:21+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	1000	3	373	358.88	3193617	u24-chaiam0-614	2026-05-20T06:36:26+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	3000	1	980	968.63	3193618	u24-chaiam0-614	2026-05-20T06:48:04+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	3000	2	976	963.9	3193619	u24-chaiam0-614	2026-05-20T06:53:01+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	3000	3	977	963.54	3193620	u24-chaiam0-614	2026-05-20T07:04:35+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	10000	1	3096	3083.24	3193621	u24-chaiam0-614	2026-05-20T07:44:55+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	10000	2	3145	3129.35	3193622	u24-chaiam0-614	2026-05-20T07:57:17+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	10000	3	3122	3108.29	3193623	u24-chaiam0-614	2026-05-20T08:49:38+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	default	1	2660	2650.83	3193592	u24-chaiam0-613	2026-05-20T04:19:04+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	default	2	3163	3150.32	3193593	u24-chaiam0-614	2026-05-20T04:33:00+02:00
braincoder	a100	tensorflow	full	vanes2019	118584	120	real	default	3	3131	3115.12	3193594	u24-chaiam0-614	2026-05-20T05:07:56+02:00
braincoder	a100	tensorflow	grid	vanes2019	118584	120	real	default	1	214	186.12	3193573	u24-chaiam0-614	2026-05-20T02:20:14+02:00
braincoder	a100	tensorflow	grid	vanes2019	118584	120	real	default	2	190	177.0	3193574	u24-chaiam0-614	2026-05-20T02:23:53+02:00
braincoder	a100	tensorflow	grid	vanes2019	118584	120	real	default	3	190	176.42	3193575	u24-chaiam0-614	2026-05-20T02:27:27+02:00
braincoder	a100	tensorflow	hrf	vanes2019	118584	120	real	default	1	3235	3221.37	3193576	u24-chaiam0-614	2026-05-20T03:21:45+02:00
braincoder	a100	tensorflow	hrf	vanes2019	118584	120	real	default	2	2732	2713.21	3193577	u24-chaiam0-613	2026-05-20T04:03:34+02:00
braincoder	a100	tensorflow	hrf	vanes2019	118584	120	real	default	3	3217	3202.14	3193578	u24-chaiam0-614	2026-05-20T04:15:42+02:00
braincoder	cpu16	tensorflow	grid	vanes2019	118584	120	real	default	1	617	594.6	3122945	u24-chaihm0-651	2026-05-18T14:26:52+02:00
braincoder	cpu16	tensorflow	grid	vanes2019	118584	120	real	default	2	612	591.22	3122946	u24-chaihm0-651	2026-05-18T14:26:47+02:00
